outcome,bid_total,auction_total,bid_per_auction_mean,bid_per_auction_max,bid_per_auction_min,bid_per_auction_std,bid_per_auction_entropy,bidder_ratio_per_auction_mean,bidder_ratio_per_auction_max,bidder_ratio_per_auction_min,bidder_ratio_per_auction_std,bidder_ratio_per_auction_entropy,bid_override_num,bid_override_norm_num,bid_override_in_auction,bid_override_norm_num_in_auction,bid_override_by_total_bid_override_mean,bid_override_by_total_bid_override_max,bid_override_by_total_bid_override_min,bid_override_by_total_bid_override_std,bid_override_by_total_bid_override_entropy,country_per_bidder,country_per_bidder_entropy,country_per_auction_entropy_mean,country_per_auction_entropy_max,country_per_auction_entropy_min,country_per_auction_entropy_std,country_per_auction_entropy_entropy,device_per_bidder,device_per_bidder_entropy,device_per_auction_entropy_mean,device_per_auction_entropy_max,device_per_auction_entropy_min,device_per_auction_entropy_std,device_per_auction_entropy_entropy,ip_per_bidder,ip_per_bidder_entropy,ip_share_num,ip_per_auction_entropy_mean,ip_per_auction_entropy_max,ip_per_auction_entropy_min,ip_per_auction_entropy_std,ip_per_auction_entropy_std,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,h_mean,h_max,h_min,h_std,h_entropy,F1,F2,F3,F4,F5,F6,f_max,f_min,f_std,f_entropy,Q1,Q2,Q3,Q4,q_max,q_min,q_std,q_entropy
0,118,12,9.833333333,24,1,8.998456658,0.816949027,84,0.711864407,8,0.666666667,0.083333333,0.226190476,0,0.086395004,0.743798148,0.074315476,0.210526316,0.005586592,0.066610792,0.84087744,1,1,1,1,1,0,1,3,0.203814308,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737288136,0,0.262711864,0,0,0.041666667,0.737288136,0,0.154238,0.181203467,0,0,0,0,0.737288136,0.262711864,0.737288136,0,0.272624483,0.321401607,0,0,0,1,1,0,0.433012702,0
0,27,18,1.5,9,1,1.833333333,0.869121569,0,0,0,0,0,0,0,0,0,0.00358017,0.025,1.65E-05,0.005892894,0.690164123,17,0.925298252,0.98942538,1,0.809656833,0.043600277,0.999642976,22,0.970661714,1,1,1,0,1,26,0.995824584,10,1,1,1,0,1,0.037037037,0.074074074,0.148148148,0.111111111,0.185185185,0.074074074,0.037037037,0.074074074,0.074074074,0,0,0,0.037037037,0,0,0.037037037,0,0,0,0.037037037,0,0.037037037,0,0.037037037,0.041666667,0.185185185,0,0.049358598,0.775622763,0.37037037,0.37037037,0.074074074,0.074074074,0.037037037,0.074074074,0.37037037,0.037037037,0.144634253,0.801550429,0.62962963,0.185185185,0.074074074,0.111111111,0.62962963,0.074074074,0.222800174,0.750566042
0,63,30,2.1,8,1,1.640121947,0.931438614,4,0.063492063,3,0.1,0.033333333,0.5,0,0.106718737,0.305692571,0.035651325,0.5,0.00076365,0.089305789,0.632209603,1,1,1,1,1,0,1,24,0.859219829,1,1,1,0,1,58,0.993268802,19,1,1,1,0,1,0.047619048,0.015873016,0.015873016,0,0,0,0.015873016,0.015873016,0.047619048,0.015873016,0.015873016,0.031746032,0.031746032,0.047619048,0,0.063492063,0.111111111,0.015873016,0.015873016,0.079365079,0.079365079,0.063492063,0.158730159,0.111111111,0.041666667,0.158730159,0,0.040678636,0.853592489,0.079365079,0.031746032,0.111111111,0.142857143,0.222222222,0.412698413,0.412698413,0.031746032,0.12456357,0.855152153,0.079365079,0.142857143,0.26984127,0.507936508,0.507936508,0.079365079,0.163951812,0.848752392
0,313,119,2.630252101,18,1,2.715859262,0.923776645,7,0.022364217,5,0.042016807,0.008403361,0.285714286,0,0.04261282,0.324290855,0.002927383,0.111111111,4.20E-05,0.012994579,0.594667742,34,0.49471065,0.992329348,1,0.650022422,0.040172565,0.999810577,116,0.871505021,1,1,1,0,1,254,0.979555654,200,1,1,1,0,1,0.073482428,0.051118211,0.060702875,0.07028754,0.041533546,0.022364217,0.028753994,0.028753994,0.025559105,0.019169329,0.041533546,0.041533546,0.031948882,0.041533546,0.031948882,0.041533546,0.067092652,0.063897764,0.028753994,0.031948882,0.044728435,0.03514377,0.038338658,0.038338658,0.041666667,0.073482428,0.019169329,0.015027276,0.980359388,0.255591054,0.121405751,0.127795527,0.146964856,0.191693291,0.156549521,0.255591054,0.121405751,0.045796493,0.980239548,0.319488818,0.185303514,0.277955272,0.217252396,0.319488818,0.185303514,0.052125411,0.984255312
0,118,22,5.363636364,43,1,9.749337761,0.696227513,2,0.016949153,1,0.045454545,0.045454545,1,0,0.208298895,0,0.005832542,0.017811705,0.000327976,0.005574334,0.848412715,3,0.477165839,1,1,1,0,1,8,0.772323022,1,1,1,0,1,52,0.906984542,46,1,1,1,0,1,0.076271186,0.101694915,0.084745763,0.042372881,0.076271186,0.033898305,0.025423729,0.025423729,0.008474576,0.016949153,0.008474576,0.016949153,0.042372881,0.050847458,0.025423729,0.042372881,0.042372881,0.033898305,0.025423729,0.016949153,0.016949153,0.076271186,0.076271186,0.033898305,0.041666667,0.101694915,0.008474576,0.025995992,0.940487632,0.305084746,0.161016949,0.050847458,0.161016949,0.118644068,0.203389831,0.305084746,0.050847458,0.077773446,0.936844362,0.415254237,0.101694915,0.237288136,0.245762712,0.415254237,0.101694915,0.111223769,0.925949834
0,10,10,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.000385705,0.001216545,0.000130822,0.000308428,0.889681659,1,1,1,1,1,0,1,8,0.973976032,1,1,1,0,1,9,0.984858662,5,1,1,1,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0.2,0.1,0,0.2,0.1,0,0,0.041666667,0.2,0,0.070217915,0.5936642,0.1,0,0,0.1,0.5,0.3,0.5,0,0.179505494,0.65203085,0.1,0,0.5,0.4,0.5,0,0.206155281,0.680482024
0,4,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.000241376,0.000293686,0.000164042,5.35E-05,0.981532772,2,1,1,1,1,0,1,4,1,1,1,1,0,1,4,1,3,1,1,1,0,1,0,0.25,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.25,0,0.093169499,0.436208584,0.5,0,0.25,0.25,0,0,0.5,0,0.186338998,0.580279211,0.5,0.25,0.25,0,0.5,0,0.176776695,0.75
0,31,9,3.444444444,22,1,6.567785203,0.544152388,0,0,0,0,0,0,0,0,0,0.001589859,0.006410256,0.0001053,0.001819173,0.77370271,13,0.889783625,0.984059553,1,0.85653598,0.045086392,0.999502966,20,0.950258552,1,1,1,0,1,25,0.969578562,22,1,1,1,0,1,0.064516129,0.064516129,0,0.161290323,0,0.064516129,0,0,0.064516129,0,0.032258065,0.064516129,0,0.032258065,0.064516129,0,0.064516129,0,0.064516129,0.064516129,0,0.032258065,0.129032258,0.032258065,0.041666667,0.161290323,0,0.042140902,0.815924253,0.290322581,0.064516129,0.161290323,0.096774194,0.193548387,0.193548387,0.290322581,0.064516129,0.073126186,0.944253825,0.35483871,0.161290323,0.161290323,0.322580645,0.35483871,0.161290323,0.089439811,0.953028644
0,746,161,4.633540373,24,1,5.23686104,0.90177343,11,0.014745308,11,0.068322981,0.00621118,0.090909091,0,0.022936303,0.471896173,0.011900951,1,6.26E-05,0.078786065,0.552131437,29,0.318745893,0.99439349,1,0.297472249,0.055893928,0.999573742,176,0.838384761,1,1,1,0,1,594,0.975692358,296,1,1,1,0,1,0.104557641,0.08310992,0.069705094,0.034852547,0.033512064,0.028150134,0.017426273,0.00536193,0.020107239,0.022788204,0.025469169,0.034852547,0.021447721,0.04155496,0.044235925,0.054959786,0.050938338,0.036193029,0.048257373,0.034852547,0.045576408,0.032171582,0.040214477,0.069705094,0.041666667,0.104557641,0.00536193,0.021872595,0.958698098,0.292225201,0.084450402,0.103217158,0.162198391,0.170241287,0.18766756,0.292225201,0.084450402,0.067111947,0.956076806,0.353887399,0.126005362,0.249329759,0.27077748,0.353887399,0.126005362,0.081546635,0.958450456
0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.000545958,0.000582751,0.000509165,3.68E-05,0.996721453,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.5,0,0.1381927,0.218104292,0,0.5,0.5,0,0,0,0.5,0,0.23570226,0.386852807,0,1,0,0,1,0,0.433012702,0
0,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,3.72E-06,3.72E-06,3.72E-06,0,1,2,1,1,1,1,0,1,2,1,1,1,1,0,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.041666667,0.5,0,0.1381927,0.218104292,0,0,0.5,0,0,0.5,0.5,0,0.23570226,0.386852807,0,0.5,0,0.5,0.5,0,0.25,0.5
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.86E-06,1.86E-06,1.86E-06,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,1,0,0.199826313,0,1,0,0,0,0,0,1,0,0.372677996,0,1,0,0,0,1,0,0.433012702,0
0,3,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.000190229,0.000501756,1.67E-05,0.000220759,0.396321451,3,1,1,1,1,0,1,3,1,1,1,1,0,1,3,1,1,1,1,1,0,1,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.041666667,0.333333333,0,0.110239638,0.345687124,0.333333333,0.333333333,0,0.333333333,0,0,0.333333333,0,0.166666667,0.613147193,0.333333333,0.333333333,0.333333333,0,0.333333333,0,0.144337567,0.79248125
0,1962,208,9.432692308,309,1,29.03637123,0.718279062,42,0.021406728,16,0.076923077,0.004807692,0.238095238,0,0.022965775,0.459555885,0.011201158,0.409090909,8.46E-05,0.032669747,0.760431527,108,0.752679501,0.980157703,1,0.53840632,0.061510966,0.999593803,123,0.77266474,1,1,1,0,1,1593,0.974266679,543,1,1,1,0,1,0.04841998,0.048929664,0.043832824,0.043832824,0.072884811,0.071355759,0.047400612,0.053007136,0.030071356,0.028542304,0.0254842,0.028542304,0.021916412,0.03058104,0.027013252,0.032110092,0.03058104,0.031090724,0.045361876,0.047910296,0.046890928,0.046890928,0.049949032,0.047400612,0.041666667,0.072884811,0.021916412,0.0131157,0.984809693,0.185015291,0.244648318,0.112640163,0.111620795,0.154943935,0.191131498,0.244648318,0.111620795,0.046730917,0.978108509,0.329255861,0.21304791,0.173292559,0.28440367,0.329255861,0.173292559,0.06065186,0.978537105
0,2,1,2,2,2,0,1,1,0.5,1,1,1,1,1,0,1,0.015748031,0.015748031,0.015748031,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,1,0,0.199826313,0,1,0,0,0,0,0,1,0,0.372677996,0,1,0,0,0,1,0,0.433012702,0
0,43,32,1.34375,3,1,0.642717619,0.972394056,1,0.023255814,1,0.03125,0.03125,1,0,0.173992636,0,0.00120161,0.009803922,6.19E-05,0.001841137,0.794021484,17,0.798429795,1,1,1,0,1,28,0.955681693,1,1,1,0,1,38,0.986322901,30,1,1,1,0,1,0.11627907,0,0.046511628,0.023255814,0.069767442,0,0.046511628,0.069767442,0,0.023255814,0.046511628,0.023255814,0.046511628,0.069767442,0.023255814,0.046511628,0.046511628,0,0.023255814,0.023255814,0.023255814,0.069767442,0.093023256,0.069767442,0.041666667,0.11627907,0,0.030007486,0.902572909,0.186046512,0.186046512,0.093023256,0.186046512,0.093023256,0.255813953,0.255813953,0.093023256,0.057620422,0.965113516,0.255813953,0.209302326,0.23255814,0.302325581,0.302325581,0.209302326,0.034395813,0.993271097
0,103,24,4.291666667,17,1,4.81732262,0.837443654,66,0.640776699,11,0.458333333,0.041666667,0.227272727,0,0.067370311,0.653483834,0.021224776,0.123188406,0.000272035,0.033324818,0.732940881,5,0.918158925,1,1,1,0,1,3,0.842610682,1,1,1,0,1,6,0.89233646,6,1,1,1,0,1,0.194174757,0.300970874,0.242718447,0.087378641,0,0,0,0.087378641,0.087378641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.300970874,0,0.083774987,0.523040618,0.825242718,0.087378641,0.087378641,0,0,0,0.825242718,0,0.297105181,0.326205835,0.825242718,0.174757282,0,0,0.825242718,0,0.339693116,0.334236285
0,60,20,3,23,1,5.282045059,0.727900508,1,0.016666667,1,0.05,0.05,1,0,0.217944947,0,0.007408186,0.090909091,6.22E-05,0.019424721,0.53179743,9,0.562760269,0.932463112,1,0.258018669,0.203702733,0.98948658,22,0.737379027,1,1,1,0,1,51,0.972258017,19,1,1,1,0,1,0.033333333,0,0,0,0.016666667,0.066666667,0.05,0.083333333,0.083333333,0.016666667,0.066666667,0.116666667,0.033333333,0.05,0.016666667,0.033333333,0.016666667,0,0.016666667,0.066666667,0.083333333,0.05,0.05,0.05,0.041666667,0.116666667,0,0.031180478,0.894804092,0.033333333,0.216666667,0.283333333,0.133333333,0.1,0.233333333,0.283333333,0.033333333,0.085526691,0.915603915,0.116666667,0.416666667,0.15,0.316666667,0.416666667,0.116666667,0.122474487,0.91187999
0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.009570042,0.014285714,0.004854369,0.004715673,0.8169704,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2,1,2,1,1,1,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.041666667,0.5,0,0.1381927,0.218104292,0.5,0,0,0,0.5,0,0.5,0,0.23570226,0.386852807,0.5,0,0,0.5,0.5,0,0.25,0.5
0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.000221566,0.000330797,0.000112334,0.000109231,0.816780144,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.041666667,0.5,0,0.1381927,0.218104292,0,0,0,0.5,0.5,0,0.5,0,0.23570226,0.386852807,0,0,1,0,1,0,0.433012702,0
0,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0.000250501,0.000250501,0.000250501,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2,1,2,1,1,1,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.5,0,0.1381927,0.218104292,1,0,0,0,0,0,1,0,0.372677996,0,1,0,0,0,1,0,0.433012702,0
0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.00099108,0.00099108,0.00099108,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,1,0,0.199826313,0,1,0,0,0,0,0,1,0,0.372677996,0,1,0,0,0,1,0,0.433012702,0
0,615,159,3.867924528,60,1,6.503132489,0.870706995,13,0.021138211,10,0.062893082,0.006289308,0.230769231,0,0.027238874,0.434962929,0.002771583,0.037037037,4.95E-05,0.004802752,0.848868736,32,0.392130427,0.997023473,1,0.724834092,0.023992814,0.999937664,173,0.874132284,1,1,1,0,1,523,0.98340708,384,1,1,1,0,1,0.100813008,0.110569106,0.076422764,0.056910569,0.029268293,0.029268293,0.014634146,0.019512195,0.021138211,0.024390244,0.024390244,0.035772358,0.017886179,0.032520325,0.034146341,0.035772358,0.047154472,0.048780488,0.047154472,0.043902439,0.030894309,0.024390244,0.035772358,0.058536585,0.041666667,0.110569106,0.014634146,0.024029915,0.955090767,0.344715447,0.092682927,0.105691057,0.120325203,0.18699187,0.149593496,0.344715447,0.092682927,0.085386499,0.936300679,0.403252033,0.139837398,0.216260163,0.240650407,0.403252033,0.139837398,0.095978872,0.948765108
0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.001988356,0.002597403,0.00137931,0.000609046,0.931220453,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.041666667,1,0,0.199826313,0,0,0,0,1,0,0,1,0,0.372677996,0,0,0,1,0,1,0,0.433012702,0
0,41,15,2.733333333,27,1,6.48553947,0.569835415,0,0,0,0,0,0,0,0,0,0.002189336,0.013513514,1.88E-05,0.00368172,0.641753078,11,0.832140986,0.989590926,1,0.843863887,0.038947189,0.999699913,27,0.932469699,1,1,1,0,1,34,0.965046201,27,1,1,1,0,1,0.048780488,0.024390244,0.048780488,0.073170732,0.097560976,0.048780488,0.048780488,0.097560976,0,0,0.024390244,0.024390244,0.024390244,0.073170732,0.073170732,0,0.024390244,0.024390244,0.024390244,0.024390244,0.048780488,0.048780488,0.073170732,0.024390244,0.041666667,0.097560976,0,0.027701246,0.918379095,0.195121951,0.292682927,0.048780488,0.170731707,0.097560976,0.195121951,0.292682927,0.048780488,0.077662493,0.934000413,0.341463415,0.195121951,0.219512195,0.243902439,0.341463415,0.195121951,0.055551424,0.983025089
0,10,10,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.000213888,0.001005025,1.86E-06,0.000305593,0.649733432,5,0.762706907,1,1,1,0,1,10,1,1,1,1,0,1,10,1,6,1,1,1,0,1,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0,0,0,0,0,0.1,0,0,0.041666667,0.2,0,0.057130455,0.680905917,0.2,0.1,0.1,0.5,0,0.1,0.5,0,0.159861051,0.758604447,0.3,0.1,0.5,0.1,0.5,0.1,0.16583124,0.842737649
0,4808,79,60.86075949,1938,1,257.7619221,0.426289218,876,0.182196339,16,0.202531646,0.012658228,0.48173516,0,0.062126873,0.326574552,0.027862755,0.4,3.65E-05,0.060986351,0.710265185,17,0.329348823,0.963063557,1,0.031429842,0.168299256,0.994206578,297,0.8057537,1,1,1,0,1,550,0.621692186,415,1,1,1,0,1,0.048252912,0.053452579,0.06468386,0.077787022,0.075915141,0.077787022,0.045133111,0.029950083,0.011231281,0.014351082,0.009359401,0.009567388,0.023086522,0.035357737,0.054492512,0.054284526,0.046381032,0.043677205,0.035981697,0.042637271,0.03577371,0.039517471,0.037229617,0.034109817,0.041666667,0.077787022,0.009359401,0.019658196,0.961968203,0.244176373,0.228785358,0.044509151,0.167221298,0.168677205,0.146630616,0.244176373,0.044509151,0.064800641,0.949346631,0.397878536,0.119592346,0.257279534,0.225249584,0.397878536,0.119592346,0.099423076,0.941854857
0,5,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.008824717,0.027777778,0.000816993,0.009735706,0.679253006,1,1,1,1,1,0,1,3,0.960229718,1,1,1,0,1,5,1,1,1,1,1,0,1,0.2,0,0.6,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.6,0,0.128830207,0.299010209,0.8,0,0,0.2,0,0,0.8,0,0.292498813,0.27927991,0.8,0,0.2,0,0.8,0,0.327871926,0.360964047
